release_year,production_companies,value_counts
1960,Twentieth Century Fox Film Corporation,4
1961,Columbia Pictures Corporation,3
1961,Twentieth Century Fox Film Corporation,3
1961,United Artists,3
1962,Metro-Goldwyn-Mayer (MGM),4
1963,Allied Artists Pictures,3
1963,Alta Vista Productions,3
1963,Metro-Goldwyn-Mayer (MGM),3
1963,Paramount Pictures,3
1964,Metro-Goldwyn-Mayer (MGM),6
1965,Metro-Goldwyn-Mayer (MGM),5
1966,Twentieth Century Fox Film Corporation,4
1966,Universal Pictures,4
1967,Twentieth Century Fox Film Corporation,4
1968,Metro-Goldwyn-Mayer (MGM),5
1969,Paramount Pictures,3
1970,Twentieth Century Fox Film Corporation,5
1971,Warner Bros.,6
1972,Warner Bros.,5
1973,Warner Bros.,8
1974,Paramount Pictures,8
1975,Paramount Pictures,4
1975,Universal Pictures,4
1975,Warner Bros.,4
1976,Columbia Pictures Corporation,5
1976,Warner Bros.,5
1977,Universal Pictures,7
1978,Paramount Pictures,7
1978,Universal Pictures,7
1979,Columbia Pictures Corporation,5
1979,Universal Pictures,5
1980,Paramount Pictures,8
1981,Universal Pictures,8
1982,Universal Pictures,10
1983,Paramount Pictures,8
1983,Universal Pictures,8
1984,Warner Bros.,9
1985,Warner Bros.,11
1986,Paramount Pictures,12
1987,Paramount Pictures,9
1987,Universal Pictures,9
1987,Warner Bros.,9
1988,Warner Bros.,15
1989,TriStar Pictures,12
1990,Universal Pictures,14
1990,Warner Bros.,14
1991,Universal Pictures,14
1992,Universal Pictures,16
1993,Warner Bros.,21
1994,Warner Bros.,15
1995,Warner Bros.,15
1996,Miramax Films,15
1996,Universal Pictures,15
1997,Warner Bros.,18
1998,Warner Bros.,17
1999,Universal Pictures,19
2000,Warner Bros.,14
2001,Warner Bros.,16
2002,Universal Pictures,16
2003,Walt Disney Pictures,15
2004,Paramount Pictures,15
2004,Warner Bros.,15
2005,Universal Pictures,18
2006,Universal Pictures,18
2007,Warner Bros.,18
2008,Relativity Media,19
2009,Relativity Media,19
2010,Relativity Media,18
2011,Universal Pictures,17
2012,Relativity Media,15
2013,Universal Pictures,13
2014,Warner Bros.,13
2015,Universal Pictures,14
