release_year,genres,value_count
1960,Drama,13
1961,Drama,16
1962,Drama,19
1963,Comedy,13
1963,Drama,13
1964,Drama,20
1965,Drama,19
1966,Comedy,15
1966,Drama,15
1967,Comedy,16
1967,Drama,16
1968,Drama,19
1969,Drama,13
1970,Drama,19
1971,Drama,30
1972,Drama,16
1973,Drama,31
1974,Drama,21
1975,Drama,17
1976,Drama,22
1977,Drama,23
1978,Drama,28
1979,Drama,30
1980,Drama,32
1981,Drama,32
1982,Drama,33
1983,Drama,34
1984,Comedy,37
1984,Drama,37
1985,Comedy,50
1986,Drama,48
1987,Comedy,53
1988,Comedy,65
1989,Comedy,59
1990,Drama,58
1991,Drama,62
1992,Drama,63
1993,Drama,89
1994,Comedy,83
1995,Drama,92
1996,Drama,100
1997,Drama,78
1998,Drama,97
1999,Drama,109
2000,Drama,88
2001,Comedy,89
2002,Drama,117
2003,Comedy,102
2004,Drama,116
2005,Drama,158
2006,Drama,177
2007,Drama,180
2008,Drama,211
2009,Drama,199
2010,Drama,189
2011,Drama,185
2012,Drama,202
2013,Drama,228
2014,Drama,270
2015,Drama,233
